Posición, punto
268,"(267, 8383)"
269,"(267, 22294)"
270,"(272, 8069)"
271,"(272, 22608)"
272,"(273, 11690)"
273,"(273, 18987)"
274,"(275, 791)"
275,"(275, 29886)"
276,"(276, 697)"
277,"(276, 29980)"
278,"(277, 4295)"
279,"(277, 26382)"
280,"(278, 8485)"
281,"(278, 22192)"
282,"(279, 1841)"
283,"(279, 28836)"
284,"(281, 10478)"
285,"(281, 20199)"
286,"(282, 223)"
287,"(282, 30454)"
288,"(285, 6540)"
289,"(285, 24137)"
290,"(287, 6208)"
291,"(287, 24469)"
292,"(288, 641)"
293,"(288, 30036)"
294,"(289, 6104)"
295,"(289, 24573)"
296,"(292, 4380)"
297,"(292, 26297)"
298,"(294, 436)"
299,"(294, 30241)"
300,"(296, 8812)"
301,"(296, 21865)"
302,"(297, 5094)"
303,"(297, 25583)"
304,"(299, 4341)"
305,"(299, 26336)"
306,"(300, 9339)"
307,"(300, 21338)"
308,"(302, 7272)"
309,"(302, 23405)"
310,"(303, 2914)"
311,"(303, 27763)"
312,"(304, 3350)"
313,"(304, 27327)"
314,"(307, 6203)"
315,"(307, 24474)"
316,"(309, 5121)"
317,"(309, 25556)"
318,"(310, 4411)"
319,"(310, 26266)"
320,"(314, 1206)"
321,"(314, 29471)"
322,"(316, 12345)"
323,"(316, 18332)"
324,"(323, 14478)"
325,"(323, 16199)"
326,"(324, 11869)"
327,"(324, 18808)"
328,"(325, 14400)"
329,"(325, 16277)"
330,"(328, 14986)"
331,"(328, 15691)"
332,"(329, 14044)"
333,"(329, 16633)"
334,"(330, 11830)"
335,"(330, 18847)"
336,"(331, 3872)"
337,"(331, 26805)"
338,"(333, 364)"
339,"(333, 30313)"
340,"(334, 12934)"
341,"(334, 17743)"
342,"(336, 2325)"
343,"(336, 28352)"
344,"(337, 15120)"
345,"(337, 15557)"
346,"(338, 7081)"
347,"(338, 23596)"
348,"(339, 3808)"
349,"(339, 26869)"
350,"(340, 7306)"
351,"(340, 23371)"
352,"(341, 11304)"
353,"(341, 19373)"
354,"(342, 9146)"
355,"(342, 21531)"
356,"(344, 7185)"
357,"(344, 23492)"
358,"(346, 12578)"
359,"(346, 18099)"
360,"(347, 5640)"
361,"(347, 25037)"
362,"(349, 4289)"
363,"(349, 26388)"
364,"(350, 1183)"
365,"(350, 29494)"
366,"(352, 15319)"
367,"(352, 15358)"
368,"(355, 812)"
369,"(355, 29865)"
370,"(356, 297)"
371,"(356, 30380)"
372,"(357, 2352)"
373,"(357, 28325)"
374,"(358, 6616)"
375,"(358, 24061)"
376,"(359, 2105)"
377,"(359, 28572)"
378,"(361, 697)"
379,"(361, 29980)"
380,"(363, 14918)"
381,"(363, 15759)"
382,"(364, 6682)"
383,"(364, 23995)"
384,"(365, 2843)"
385,"(365, 27834)"
386,"(366, 14166)"
387,"(366, 16511)"
388,"(367, 1876)"
389,"(367, 28801)"
390,"(368, 14612)"
391,"(368, 16065)"
392,"(370, 4080)"
393,"(370, 26597)"
394,"(373, 2059)"
395,"(373, 28618)"
396,"(375, 11462)"
397,"(375, 19215)"
398,"(377, 11519)"
399,"(377, 19158)"
400,"(378, 197)"
401,"(378, 30480)"
402,"(380, 7818)"
403,"(380, 22859)"
404,"(381, 221)"
405,"(381, 30456)"
406,"(383, 4661)"
407,"(383, 26016)"
408,"(386, 14319)"
409,"(386, 16358)"
410,"(387, 12426)"
411,"(387, 18251)"
412,"(389, 2255)"
413,"(389, 28422)"
414,"(391, 5543)"
415,"(391, 25134)"
416,"(392, 3903)"
417,"(392, 26774)"
418,"(393, 4162)"
419,"(393, 26515)"
420,"(395, 9711)"
421,"(395, 20966)"
422,"(398, 3469)"
423,"(398, 27208)"
424,"(401, 11079)"
425,"(401, 19598)"
426,"(402, 9079)"
427,"(402, 21598)"
428,"(406, 6125)"
429,"(406, 24552)"
430,"(410, 7145)"
431,"(410, 23532)"
432,"(416, 2038)"
433,"(416, 28639)"
434,"(418, 5023)"
435,"(418, 25654)"
436,"(419, 8762)"
437,"(419, 21915)"
438,"(421, 13848)"
439,"(421, 16829)"
440,"(424, 1513)"
441,"(424, 29164)"
442,"(427, 1632)"
443,"(427, 29045)"
444,"(428, 5803)"
445,"(428, 24874)"
446,"(432, 5684)"
447,"(432, 24993)"
448,"(433, 753)"
449,"(433, 29924)"
450,"(434, 4329)"
451,"(434, 26348)"
452,"(435, 4714)"
453,"(435, 25963)"
454,"(437, 4805)"
455,"(437, 25872)"
456,"(438, 7896)"
457,"(438, 22781)"
458,"(444, 1704)"
459,"(444, 28973)"
460,"(445, 12929)"
461,"(445, 17748)"
462,"(447, 14551)"
463,"(447, 16126)"
464,"(448, 2106)"
465,"(448, 28571)"
466,"(449, 11354)"
467,"(449, 19323)"
468,"(450, 5373)"
469,"(450, 25304)"
470,"(452, 4907)"
471,"(452, 25770)"
472,"(455, 10556)"
473,"(455, 20121)"
474,"(456, 2530)"
475,"(456, 28147)"
476,"(463, 6538)"
477,"(463, 24139)"
478,"(466, 7612)"
479,"(466, 23065)"
480,"(468, 480)"
481,"(468, 30197)"
482,"(472, 2005)"
483,"(472, 28672)"
484,"(474, 10277)"
485,"(474, 20400)"
486,"(477, 8212)"
487,"(477, 22465)"
488,"(478, 12683)"
489,"(478, 17994)"
490,"(481, 1164)"
491,"(481, 29513)"
492,"(482, 10580)"
493,"(482, 20097)"
494,"(484, 8479)"
495,"(484, 22198)"
496,"(485, 1721)"
497,"(485, 28956)"
498,"(486, 6336)"
499,"(486, 24341)"
500,"(487, 12943)"
